,subject,month,day,year,city,region1,postal_code,lat,lng,stance
174, Save NY from Climate-Killing Cryptocurrency ,11.0,1.0,21.0,Wayland,NY,14572,42.504945,-77.55974570108697,0
175, Save NY from Climate-Killing Cryptocurrency ,11.0,16.0,21.0,DRESDEN,NY,14441,42.688769,-76.95733424400001,0
176, Greenidge Generation Power Plant ,10.0,18.0,21.0,Brooklyn,NY,11226,40.64195196875,-73.9615473125,0
177, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Rochester,NY,14618-3966,43.1057524,-77.5834431,1
178, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Jervis,NY,12771,41.36044520000001,-74.6179884,0
179, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Syosset,NY,11791,40.8337635,-73.48650155141685,0
181, Greenidge Generation Power Plant ,10.0,12.0,21.0,Queens,NY,11417,40.6761941,-73.84951465,0
183, Save NY from Climate-Killing Cryptocurrency ,11.0,15.0,21.0,Dundee,NY,14837,42.4925309,-76.9153189,0
184, Greenidge Generating Station Public Comment ,9.0,9.0,21.0,Watkins Glen,NY,14891,42.39263613959057,-76.88520693073696,0
187, Save NY from Climate-Killing Cryptocurrency ,11.0,10.0,21.0,Owego,NY,13827,42.10290415,-76.26132397291221,0
188, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Kenmore,NY,14217,42.9669355,-78.859471,0
189, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Newfield,NY,14867,42.35446784557162,-76.58817975386843,0
191, Greenidge Generation Power Plant ,10.0,5.0,21.0,Rochester,NY,14611,43.1324196,-77.63401379999999,0
193, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Cooperstown,NY,13326,42.7412141,-74.8891432,0
194, Save NY from Climate-Killing Cryptocurrency ,11.0,15.0,21.0,Delmar,NY,12054,42.6064646,-73.8511725,0
199, Deny Greenidge's Title V Air Permit ,11.0,15.0,21.0,Syracuse,NY,13212-2610,43.126408700000006,-76.1576692,0
200, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Peekskill,NY,10566,41.2896394,-73.9082769,0
203, Greenidge Generation Power Plant ,10.0,5.0,21.0,Van Etten,NY,14889,42.275744,-76.56135649999997,0
204, Greenidge Generation Power Plant ,10.0,12.0,21.0,New York,NY,10014,40.73326305882353,-74.0045644117647,0
205, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Youngstown,NY,14174,43.254647827688245,-79.04896246150587,0
207, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Massapequa,NY,11758,40.713434,-73.4786252,0
208, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Macedon,NY,14502-9324,43.1487515,-77.3563255,0
209, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Plains,NY,12567,41.9791765,-73.65993566753758,0
211, Greenidge Generation Power Plant ,10.0,5.0,21.0,Queensbury,NY,12804,43.3519936,-73.64702120000001,0
212, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Bronx,NY,10465-3852,40.81348782804487,-73.81250218491921,0
